trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
289,False,"{'a': 0.5, 'e': 0.07333075327935314}",20,0,16.721410432461944,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.07267077649983895}",25,0,25.050982099194073,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.0720167395113404}",30,17,-33.172612576205054,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
292,False,"{'a': 0.5, 'e': 0.07136858885573834}",30,9,-29.84156327631124,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
293,False,"{'a': 0.5, 'e': 0.0707262715560367}",30,10,37.296127426914246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.07008973511203237}",25,17,16.622936063563674,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.06945892749602407}",25,14,7.618858952491076,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.06883379714855986}",20,12,15.342444151000524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.06821429297422282}",30,21,19.317990479233952,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.06760036433745482}",25,15,17.557888989363626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.06699196105841773}",20,0,32.35641596882006,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
300,False,"{'a': 0.5, 'e': 0.06638903340889198}",20,10,19.94352663584434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.06579153210821195}",20,8,-2.2495366889838744,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.06519940831923804}",20,0,18.010173119788647,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.0646126136443649}",25,14,10.014652058289837,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.06403110012156561}",25,14,16.71374464468314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.06345482022047153}",25,10,24.35156176445085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.06288372683848728}",30,20,-5.600966182701652,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.062317773296940895}",20,0,29.741837952315784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
308,False,"{'a': 0.5, 'e': 0.061756913337268425}",20,12,15.606933120679182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.06120110111723301}",20,3,26.36573957218266,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.06065029120717791}",20,14,9.35381620586229,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.06010443858631331}",25,10,28.46460908957862,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.05956349863903648}",35,20,24.54283616124065,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.05902742715128515}",20,7,11.689112746678411,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.058496180306923586}",25,8,-73.03331808835007,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
315,False,"{'a': 0.5, 'e': 0.057969714684161275}",20,0,-12.122927605457917,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
316,False,"{'a': 0.5, 'e': 0.05744798725200382}",30,0,33.93547322024705,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
317,False,"{'a': 0.5, 'e': 0.056930955366735786}",30,19,19.557748349651092,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.05641857676843516}",20,13,13.3915905615371,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.055910809577519247}",20,9,5.6151914945193,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.05540761229132157}",20,0,29.173937812231166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.05490894378069968}",25,0,10.132818616242753,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.054414763286673384}",20,13,10.302798022468803,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.053925030417093324}",20,4,26.506416596612436,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.05343970514333948}",20,0,33.57711584388024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
325,False,"{'a': 0.5, 'e': 0.05295874779704943}",20,3,28.91567186438366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.052482119066875985}",25,12,-2.6381676836041175,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.0520097799952741}",25,8,15.622224395511576,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.051541691975316634}",20,2,30.62701696106874,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.051077816747538786}",20,4,22.218036913834418,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.050618116396810936}",30,16,29.073700313015745,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.050162553349239636}",25,7,-14.307526634878068,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
332,False,"{'a': 0.5, 'e': 0.04971109036909648}",25,11,24.459570715036445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,2,27.990987871198048,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,3,29.68762382087926,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,24.2473858487412,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,18,12.656168705888936,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,24,11.748204794679857,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,18,22.636358455273758,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,9,23.72558372891009,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",35,18,29.74128176469602,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,7,24.081674104161223,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,24.21012616821662,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
